caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
1499,west_9,West,M,ID,8,1,Female,Married,8:00 AM – 8:14 AM,2:00 AM – 5:00 AM,6,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,10,Never,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night,A few nights a month, Never,A few nights a week, Never, Never,Yes,No,Yes,No,15 up to 30 minutes,With your significant other,With your significant other,Self-treat it,Yes,None, ,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,Every night or almost every night,No,Never,No impact,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not sure,None,No problems,A few nights a week,No,Noise,Somewhat difficult,A few nights a week, Never, Never, Never, Never,Never?,1 to 2 nights a week,Bed partner,6,You needed to take care of others,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Completely agree,Mostly agree,Mostly agree,Evening person,01,00,1 to 2 times a month,No, ,No, ,67,190,29.8396079304968,Not at all,No,No,No,Yes,No,No,No,No,Working more than one job,Regular day shifts,040,3,1,046,Rural
1500,west_9,West,P,CA,9,1,Male,Single,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,9:00 AM – 9:14 AM,12:01 AM – 12:59 AM,7,A few nights a week,A few nights a week,A few nights a week,A few nights a week,A few nights a month,A few nights a week,Every night or almost every night,A few nights a month,A few nights a week,A few nights a week,A few nights a week,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,Rarely,Rarely,A few nights a month,Rarely, Never,Don't Know, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Nothing awakens me at night,Somewhat difficult,A few nights a month, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Don't Know,Mostly disagree,Don't Know,02,06,1 to 2 times a month,No, ,No, ,72,165,22.4392361111111,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,045,6,1,035,Urban
1501,ne_3,Northeast,E,MA,1,1,Male,Single,7:00 AM – 7:14 AM,12:00 AM (Midnight),7.5,8:15 AM – 8:29 AM,1:00 AM – 1:59 AM,8,A few nights a month,A few nights a week, Never,Every night or almost every night,A few nights a month,A few nights a month, Never,A few nights a month,A few nights a week,Rarely,Rarely,No,Yes,No,Yes,10 up to 15 minutes,Alone,Alone,Get recommendations from family/friends,No,None, ,Rarely,Rarely,Rarely,A few nights a month, Never, Never, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Wake up on own,6,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Morning person,01,04,Less than once a month,No, ,Yes,Less often or never?,75,188,23.5626666666667,Not at all,No,No,No,No,No,No,No,No,Working full-time,Rotating shifts,040,3,1,024,Urban
1502,ne_6,Northeast,E,ME,1,1,Female,Married,6:30 AM – 6:44 AM,9:00 PM – 9:14 PM,8,9:00 AM – 9:14 AM,11:00 PM – 11:14 PM,6,Rarely, Never,Every night or almost every night,A few nights a week,Rarely,Rarely,A few nights a month,Rarely,Every night or almost every night, Never,A few nights a week,Yes,No,No,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, ,Rarely,Every night or almost every night,Rarely,Rarely, Never, Never, ,No, , , ,Never,Severe impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,11,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,7,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Not really concerned,Mostly disagree,Completely agree,Mostly agree,Completely agree,Morning person,08,00,Never,No, ,No, ,65,125,20.8579881656805,Not at all,No,No,No,No,No,No,No,No,Working full-time,Rotating shifts,030,6,1,039,Rural
1503,ne_6,Northeast,E,NY,2,1,Male,Married,5:00 AM – 5:14 AM,11:00 PM – 11:14 PM,6,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,A few nights a month, Never,Every night or almost every night,Every night or almost every night, Never,A few nights a week,A few nights a week,Rarely,Every night or almost every night, Never,Rarely,No,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,45 minutes to less than 1 hour, Never,Rarely,Rarely,A few nights a month,Rarely,Rarely,About the same,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,5,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Morning person,04,03,Never,No, ,No, ,69,170,25.1732829237555,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,007,1,1,045,Urban
1504,ne_4,Northeast,E,NY,2,1,Female,Single,7:00 AM – 7:14 AM,12:00 AM (Midnight),8,8:30 AM – 8:44 AM,12:00 AM (Midnight),8,A few nights a week, Never,Every night or almost every night,Rarely, Never,Rarely,Rarely, Never,Rarely,Rarely,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,Talk to your doctor,Yes,2 or 3 times,1 hour or more?,A few nights a month,Rarely,Rarely,A few nights a week, Never,Every night or almost every night, ,Yes,Louder than talking,Every night or almost every night,Yes,3 to 4 nights a week, , , , , , , , , , , , , , ,A few nights a month,Yes,Don't Know,Not very difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,1 to 2 nights a week,Alarm clock,8,You were too sleepy when you woke up,None,None,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Completely agree,Completely disagree,Mostly agree,Evening person,03,03,Never,No, ,No, ,64,105,18.072509765625,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,3,1,044,Urban
1505,ne_4,Northeast,E,NY,2,1,Female,Divorced,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,A few nights a month, Never,A few nights a week, Never,A few nights a month,A few nights a week,Don't Know, Never,Every night or almost every night,Rarely,A few nights a week,Yes,No,Yes,Yes,10 up to 15 minutes,Alone,With your significant other,Assume it will go away in time,No,None, ,Rarely,Rarely,A few nights a month,A few nights a month, Never,Rarely, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,A few nights a week,No,Noise,Not at all difficult, Never, Never,A few nights a month, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,6,You needed to take care of others,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Completely disagree,Mostly agree,Morning person,04,02,1 to 2 times a month,No, ,Yes,Less often or never?,66,142,22.9820936639118,Not at all,No,No,No,No,No,Yes,No,No,Working full-time,Regular day shifts,040,1,1,038,Rural
1506,ne_1,Northeast,E,NH,1,1,Female,Divorced,7:30 AM – 7:44 AM,10:00 PM – 10:14 PM,8,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,9,A few nights a week, Never,Every night or almost every night, Never,A few nights a month,A few nights a week, Never, Never, Never, Never, Never,No,No,Yes,Yes,15 up to 30 minutes,With your pet,With your pet,Assume it will go away in time,No,1 time, ,Rarely,Rarely, Never,A few nights a week, Never,Rarely, ,No, , , ,Never, , , , , , , , , , , , , , ,A few nights a month,No,17,Not very difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Light,7,You are never late or tardy?,None,None,None,No,Causes you to have disturbed or restless sleep,Not really concerned,Completely disagree,Completely agree,Mostly agree,Mostly agree,Morning person,00,00,Less than once a month,No, ,No, ,64,130,22.37548828125,Not at all,No,No,No,No,Yes,No,No,No,Working full-time,Regular day shifts,048,4,2,047,Suburban
1507,ne_9,Northeast,E,NJ,2,1,Male,Living with someone,6:30 AM – 6:44 AM,11:30 PM – 11:44 PM,7,7:00 AM – 7:14 AM,11:30 PM – 11:44 PM,7.5,A few nights a week,Rarely,Every night or almost every night, Never,Rarely,A few nights a week,A few nights a week, Never,Every night or almost every night, Never,A few nights a month,No,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,2 or 3 times,15 to less than 30 minutes, Never, Never,A few nights a month,Rarely, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never,No impact,No,No,No,Yes,No,Yes,Not sure,Yes,Yes,No,No,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,3 to 4 nights a week,Alarm clock,7,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Completely agree,Mostly disagree,Mostly agree,Morning person,03,10,1 to 2 times a month,No, ,Yes,Less often or never?,65,142,23.694674556213,Not at all,No,No,No,No,No,No,No,No,Working full-time,No info,040,3,1,049,Rural
1508,ne_6,Northeast,E,NJ,2,1,Male,Married,12:01 AM - 4:59 AM,12:00 AM (Midnight),4,12:00 PM (Noon) – 5:59 PM,2:00 AM – 5:00 AM,11,Never, Never,Every night or almost every night, Never, Never, Never,A few nights a week, Never,Every night or almost every night, Never,A few nights a week,Yes,No,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Assume it will go away in time,No,None, , Never, Never, Never, Never, Never,Every night or almost every night, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,2,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Don't Know,Don't Know,Don't Know,Don't Know,10,00,Never,No, ,No, ,68,145,22.1074826989619,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,7,1,025,Suburban
1509,ne_8,Northeast,E,PA,2,1,Male,Divorced,6:30 AM – 6:44 AM,2:00 AM – 5:00 AM,4,12:00 PM (Noon) – 5:59 PM,1:00 AM – 1:59 AM,10,Every night or almost every night, Never,A few nights a week,A few nights a week, Never,A few nights a month,A few nights a month, Never,A few nights a week, Never, Never,No,No,Yes,Yes,30 up to 45 minutes,Alone,With your significant other,Use an over-the-counter sleep aid,Yes,More than 5 times,15 to less than 30 minutes,Every night or almost every night,A few nights a week,A few nights a week,Every night or almost every night,Rarely,A few nights a week,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,1 to 2 nights a month?, , , , , , , , , , , , , , ,A few nights a month,No,Noise,Somewhat difficult,A few nights a month, Never,Rarely, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,8,You have a sleep problem,None,More than 10 days?,1 to 2 days,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Completely disagree,Mostly agree,Evening person,05,00,1 to 2 times a week,No, ,Yes,1 to 2 days a week,68,185,28.206098615917,Not at all,No,No,No,No,Yes,No,No,No,Working full-time,Regular day shifts,044,6,1,045,Suburban
1510,ne_10,Northeast,E,NJ,2,1,Male,Married,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,6.5,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,6.5,Rarely, Never,Every night or almost every night, Never,Rarely,Every night or almost every night,A few nights a week, Never,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, , Never, Never,Rarely, Never,A few nights a month,A few nights a month,Worse at night,Yes,As loud as talking,3 to 4 nights a week,No,Never,No impact,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,Little problems,Every night or almost every night,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Wake up on own,6,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Mostly agree,Mostly agree,Completely disagree,Morning person,06,14,1 to 2 times a month,No, ,No, ,71,184,25.7329894862131,Not at all,No,No,No,No,No,No,No,Yes,Retired, , , ,1,059,Suburban
1511,ne_2,Northeast,E,NJ,2,1,Female,Married,8:00 AM – 8:14 AM,12:01 AM – 12:59 AM,7,8:00 AM – 8:14 AM,12:01 AM – 12:59 AM,7,A few nights a week, Never,A few nights a week, Never, Never,A few nights a week, Never, Never,A few nights a month,Every night or almost every night, Never,Yes,No,Yes,No,5 up to 10 minutes,Alone,Alone,Use an over-the-counter sleep aid,No,4 or 5 times,1 hour or more?, Never, Never, Never,A few nights a week,Rarely,Rarely,Worse at night,No, , , ,Never,No impact,Yes,No,No,Yes,Don't Know,Yes,Yes,Yes,Yes,No,Yes,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never,A few nights a week, Never, Never,Every night or almost every night,Every night or almost every night,Wake up on own,6.5,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Morning person,03,07,Never,No, ,No, ,68,124,18.9057093425606,Every day,No,Yes,No,No,Yes,No,Yes,No,Retired, , , ,1,072,Suburban
1512,ne_1,Northeast,E,MA,1,1,Female,Divorced,7:30 AM – 7:44 AM,10:00 PM – 10:14 PM,8,8:30 AM – 8:44 AM,1:00 AM – 1:59 AM,6,A few nights a week,Rarely,A few nights a week, Never, Never,A few nights a month,A few nights a week,A few nights a month,Every night or almost every night,A few nights a week,A few nights a week,Yes,No,Yes,Yes,10 up to 15 minutes,Alone,With your children,Use an over-the-counter sleep aid,No,None, ,Rarely,A few nights a month,Rarely,A few nights a month, Never,Every night or almost every night, ,Yes,As loud as talking,3 to 4 nights a week,Yes,Every night or almost every night,No impact, , , , , , , , , , , , , ,Every night or almost every night,Yes,Pain/Discomfort,Somewhat difficult,A few nights a week, Never,A few nights a week, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,5,You slept too late,None,None,None,No,Or does it have no impact on your sleep?,Not really concerned,Completely agree,Mostly agree,Completely disagree,Mostly agree,Evening person,05,12,1 to 2 times a month,No, ,No, ,63,155,27.5321239606954,Some days,No,No,No,No,Yes,No,Yes,No,Working part-time,Regular evening shifts,035,6,1,037,Rural
1513,ne_6,Northeast,E,CT,1,1,Female,Married,5:00 AM – 5:14 AM,9:00 PM – 9:14 PM,8,5:00 AM – 5:14 AM,9:30 PM – 9:44 PM,7,Rarely,Rarely,Every night or almost every night, Never, Never,Every night or almost every night,Rarely,Rarely,Every night or almost every night, Never,Rarely,Yes,No,No,Yes,Less than 5 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, , Never, Never,A few nights a week,A few nights a week, Never, Never, ,Yes,Slightly louder than breathing,1 to 2 nights a week,Yes,Never, ,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,030,No problems,Every night or almost every night,Yes,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Children,7,You are never late or tardy?,None,None,1 to 2 days,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Don't Know,Don't Know,Morning person,02,00,Less than once a month,No, ,No, ,62,115,21.0913111342352,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,1,1,040,Suburban
1514,ne_3,Northeast,E,NY,2,1,Female,Living with someone,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,6,7:30 AM – 7:44 AM,12:00 AM (Midnight),7,Every night or almost every night, Never,Every night or almost every night, Never, Never,A few nights a month,A few nights a month, Never,Every night or almost every night,Rarely,Rarely,Yes,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Assume it will go away in time,Yes,None, ,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night,A few nights a week,A few nights a week,Worse at night,No, , , ,Never, ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Not sure,Yes,120,No problems,Rarely,No,22,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,7,You are never late or tardy?,None,None,None,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Completely agree,Mostly disagree,Completely disagree,Evening person,03,00,3 or more times a week,No, ,No, ,69,230,34.0579710144928,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,6,1,023,Suburban
